"country","country code","area(sq Km)"
"Kiribati","KIR","810"
"St. Kitts and Nevis","KNA","260"
"Korea, Rep.","KOR","97200"
"Kuwait","KWT","17820"
"Latin America & Caribbean (excluding high income)","LAC","18139300"
"Lao PDR","LAO","230800"
"Lebanon","LBN","10230"
"Liberia","LBR","96320"
"Libya","LBY","1759540"
"St. Lucia","LCA","610"
"Latin America & Caribbean","LCN","20041730"
"Least developed countries: UN classification","LDC","20274534.055"
"Low income","LIC","15610246.055"
"Liechtenstein","LIE","160"
"Sri Lanka","LKA","62710"
"Lower middle income","LMC","24844755.418"
"Low & middle income","LMY","93734080.173"
"Lesotho","LSO","30360"
"Late-demographic dividend","LTE","44561264.118"
"Lithuania","LTU","62675"
"Luxembourg","LUX","2574.46"
"Latvia","LVA","62227"
"Macao SAR, China","MAC","29.7"
"St. Martin (French part)","MAF",
"Morocco","MAR","446300"
"Monaco","MCO","2.027"
"Moldova","MDA","32850"
"Madagascar","MDG","581540"
"Maldives","MDV","300"
"Middle East & North Africa","MEA","11223642"
"Mexico","MEX","1943950"
"Marshall Islands","MHL","180"
"Middle income","MIC","78123834.118"
"North Macedonia","MKD","25220"
"Mali","MLI","1220190"
"Malta","MLT","320"
"Myanmar","MMR","653260"
"Middle East & North Africa (excluding high income)","MNA","8641280"
"Montenegro","MNE","13450"
"Mongolia","MNG","1557292.418"
"Northern Mariana Islands","MNP","460"
"Mozambique","MOZ","786380"
"Mauritania","MRT","1030700"
"Mauritius","MUS","2030"
"Malawi","MWI","94280"
"Malaysia","MYS","328550"
"North America","NAC","18113064"
"Namibia","NAM","823290"
"New Caledonia","NCL","18280"
"Niger","NER","1266700"
"Nigeria","NGA","910770"
"Nicaragua","NIC","120340"
"Netherlands","NLD","33730"
"Norway","NOR","365244"
"Nepal","NPL","143350"
"Nauru","NRU","20"
"New Zealand","NZL","263310"
"OECD members","OED","35497720.36"
"Oman","OMN","309500"
"Other small states","OSS","2030700"
"Pakistan","PAK","770880"
"Panama","PAN","74340"
"Peru","PER","1280000"
"Philippines","PHL","298170"
"Palau","PLW","460"
"Papua New Guinea","PNG","452860"
"Poland","POL","306280"
"Pre-demographic dividend","PRE","20184706.103"
"Puerto Rico","PRI","8870"
"Korea, Dem. People's Rep.","PRK","120410"
"Portugal","PRT","91590"
"Paraguay","PRY","397300"
"West Bank and Gaza","PSE","6020"
"Pacific island small states","PSS","64200"
"Post-demographic dividend","PST","31337638.06"
"French Polynesia","PYF","3471"
"Qatar","QAT","11610"
"Romania","ROU","230050"
"Russian Federation","RUS","16376870"
"Rwanda","RWA","24670"
"South Asia","SAS","4770947"
"Saudi Arabia","SAU","2149690"
"Sudan","SDN","2376000"
"Senegal","SEN","192530"
"Singapore","SGP","702"
"Solomon Islands","SLB","27990"
"Sierra Leone","SLE","72180"
"El Salvador","SLV","20720"
"San Marino","SMR","60"
"Somalia","SOM","627340"
"Serbia","SRB","87460"
"Sub-Saharan Africa (excluding high income)","SSA","23766277.055"
"South Sudan","SSD",
"Sub-Saharan Africa","SSF","23766737.055"
"Small states","SST","2499750"
"Sao Tome and Principe","STP","960"
"Suriname","SUR","156000"
"Slovak Republic","SVK","48091"
"Slovenia","SVN","20146.2"
"Sweden","SWE","407339.7"
"Eswatini","SWZ","17200"
"Sint Maarten (Dutch part)","SXM","34"
"Seychelles","SYC","460"
"Syrian Arab Republic","SYR","183630"
"Turks and Caicos Islands","TCA","950"
"Chad","TCD","1259200"
"East Asia & Pacific (IDA & IBRD countries)","TEA","15902926.118"
"Europe & Central Asia (IDA & IBRD countries)","TEC","22985054"
"Togo","TGO","54390"
"Thailand","THA","510890"
"Tajikistan","TJK","139960"
"Turkmenistan","TKM","469930"
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","19913632"
"Timor-Leste","TLS","14870"
"Middle East & North Africa (IDA & IBRD countries)","TMN","8635260"
"Tonga","TON","720"
"South Asia (IDA & IBRD)","TSA","4770947"
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","23766737.055"
"Trinidad and Tobago","TTO","5130"
"Tunisia","TUN","155360"
"Turkiye","TUR","769630"
"Tuvalu","TUV","30"
"Tanzania","TZA","885800"
"Uganda","UGA","200520"
"Ukraine","UKR","579320"
"Upper middle income","UMC","53279078.7"
"Uruguay","URY","175020"
"United States","USA","9147420"
"Uzbekistan","UZB","435892"
"St. Vincent and the Grenadines","VCT","390"
"Venezuela, RB","VEN","882050"
"British Virgin Islands","VGB","150"
"Virgin Islands (U.S.)","VIR","350"
"Vietnam","VNM","313294"
"Vanuatu","VUT","12190"
"World","WLD","129851399.26"
"Samoa","WSM","2830"
"Kosovo","XKX",
"Yemen, Rep.","YEM","527970"
"South Africa","ZAF","1213090"
"Zambia","ZMB","743390"
"Zimbabwe","ZWE","386850"
